station_id,borrow_count,return_count
31716.0,144,146
31717.0,38,43
31718.0,7,10
31719.0,146,152
31720.0,112,102
31721.0,184,183
31722.0,11,6
31723.0,1,1
31724.0,1,1
31725.0,430,438
31726.0,22,34
31727.0,274,285
31728.0,13,13
31800.0,28,30
31801.0,149,190
31802.0,94,97
31803.0,94,94
31804.0,65,76
31805.0,54,49
31806.0,51,35
31807.0,5,12
31808.0,58,70
31811.0,42,47
31812.0,72,82
31813.0,15,11
31814.0,5,5
31815.0,11,16
31816.0,44,50
31817.0,35,28
31818.0,13,13
31819.0,4,6
31820.0,109,112
31822.0,15,13
31823.0,6,8
31824.0,9,9
31825.0,7,8
31826.0,38,41
31827.0,243,234
31828.0,1501,1485
31829.0,47,42
31830.0,19,20
31831.0,24,21
31900.0,115,103
31901.0,33,38
31902.0,128,129
31903.0,90,118
31904.0,366,366
31905.0,106,103
31906.0,55,57
31907.0,100,130
31908.0,22,24
31909.0,61,70
31910.0,194,191
31912.0,43,51
31913.0,96,98
31914.0,58,48
31915.0,78,77
31916.0,139,138
31917.0,456,505
31918.0,200,212
31919.0,173,174
31920.0,229,228
31921.0,56,62
31923.0,78,79
31924.0,184,173
31926.0,201,224
31927.0,21,13
31928.0,43,43
31929.0,259,261
31930.0,31,40
31931.0,138,155
31932.0,22,27
31933.0,72,95
31935.0,201,191
31936.0,107,106
31937.0,200,201
31938.0,168,169
31939.0,389,399
31940.0,189,213
31941.0,37,39
31942.0,16,12
31943.0,13,11
31944.0,111,104
31945.0,48,49
31946.0,19,18
31947.0,975,1017
31948.0,94,96
31949.0,78,85
31950.0,268,271
31951.0,87,102
31952.0,15,12
31953.0,13,17
31954.0,20,26
31955.0,73,84
31956.0,72,88
31957.0,13,19
31958.0,48,55
31959.0,231,251
31960.0,176,175
31961.0,21,14
31962.0,37,30
31963.0,44,52
31964.0,9,10
31966.0,22,26
31967.0,14,21
31968.0,220,246
31969.0,464,452
31970.0,143,114
31971.0,61,50
31972.0,90,85
31973.0,119,104
31974.0,102,92
31976.0,86,69
31977.0,54,39
31978.0,750,731
31979.0,230,225
31981.0,120,121
32000.0,162,176
32001.0,116,103
32002.0,237,235
32003.0,70,70
32005.0,8,5
32006.0,66,56
32008.0,152,106
32009.0,10,14
32011.0,35,56
32012.0,88,101
32014.0,214,170
32017.0,21,24
32018.0,9,11
32019.0,77,59
32021.0,67,45
32022.0,21,24
32023.0,24,18
32024.0,85,64
32025.0,131,92
32026.0,127,120
32027.0,130,101
32028.0,60,63
32029.0,60,45
32032.0,17,22
32034.0,64,63
32036.0,78,89
32037.0,46,38
32038.0,30,35
32039.0,92,96
32040.0,111,83
32043.0,33,32
32044.0,14,15
32045.0,52,57
32046.0,194,178
32047.0,23,17
32048.0,210,189
32049.0,104,122
32050.0,24,21
32051.0,47,50
32053.0,106,77
32054.0,20,17
32055.0,204,187
32056.0,50,36
32057.0,78,76
32058.0,29,30
32059.0,13,27
32061.0,22,24
32062.0,66,67
32063.0,52,48
32064.0,27,25
32065.0,78,73
32066.0,15,9
32067.0,22,9
32068.0,10,13
32069.0,6,8
32073.0,10,8
32074.0,67,64
32075.0,49,47
32076.0,43,36
32077.0,14,11
32078.0,27,30
32079.0,20,24
32080.0,43,33
32081.0,14,22
32082.0,25,28
32083.0,32,31
32084.0,37,44
32085.0,2,3
32086.0,8,11
32087.0,1,1
32088.0,6,7
32089.0,9,4
32090.0,0,1
32092.0,10,7
32094.0,0,5
32101.0,5,5
32200.0,23,23
32201.0,27,26
32203.0,29,22
32204.0,50,45
32205.0,14,9
32206.0,20,18
32207.0,13,15
32209.0,15,18
32210.0,32,29
32211.0,17,17
32212.0,13,11
32213.0,38,39
32214.0,55,47
32215.0,32,27
32216.0,35,37
32217.0,6,4
32218.0,14,20
32219.0,19,28
32220.0,58,58
32221.0,7,6
32223.0,5,5
32224.0,33,35
32225.0,25,23
32226.0,563,608
32227.0,13,6
32228.0,23,22
32229.0,23,27
32230.0,30,27
32231.0,133,125
32232.0,47,38
32233.0,3,4
32234.0,38,45
32235.0,53,48
32236.0,19,16
32237.0,19,21
32238.0,9,5
32239.0,5,5
32241.0,8,5
32242.0,44,47
32243.0,85,81
32244.0,0,2
32246.0,8,4
32247.0,10,9
32248.0,22,23
32250.0,13,13
32251.0,5,4
32252.0,5,7
32253.0,17,22
32255.0,16,18
32256.0,3,8
32258.0,23,23
32259.0,13,18
32260.0,67,58
32261.0,21,12
32262.0,61,73
32263.0,8,14
32264.0,5,4
32265.0,27,41
32266.0,14,15
32267.0,22,25
32268.0,21,25
32269.0,10,12
32270.0,12,12
32271.0,12,13
32272.0,21,19
32274.0,10,12
32275.0,2,3
32276.0,11,18
32277.0,8,6
32278.0,3,8
32279.0,13,16
32280.0,21,21
32281.0,4,12
32282.0,8,7
32283.0,10,7
32288.0,25,26
32289.0,44,40
32290.0,19,21
32293.0,41,41
32294.0,24,20
32295.0,39,42
32296.0,4,6
32297.0,28,26
32298.0,7,8
32301.0,598,604
32320.0,29,28
32400.0,22,20
32401.0,21,23
32402.0,92,86
32403.0,107,106
32404.0,74,75
32405.0,10,11
32406.0,71,64
32407.0,8,12
32408.0,62,54
32409.0,8,7
32410.0,92,96
32411.0,55,54
32412.0,29,32
32413.0,66,62
32414.0,25,33
32415.0,59,54
32416.0,77,77
32417.0,27,27
32418.0,221,206
32419.0,21,22
32420.0,133,135
32421.0,117,120
32422.0,53,51
32423.0,173,173
32424.0,13,15
32425.0,20,23
32426.0,33,40
32427.0,40,39
32428.0,14,15
32429.0,138,127
32430.0,95,86
32431.0,78,69
32432.0,89,94
32433.0,67,75
32434.0,15,12
32600.0,90,89
32601.0,70,60
32602.0,38,39
32603.0,51,50
32604.0,43,41
32605.0,59,53
32606.0,89,73
32607.0,50,51
32608.0,67,63
32609.0,49,43
32901.0,0,3
33200.0,569,603
