station_id,station,Max_Positive,Min_Negative,Required_Docks_Est
31130.0,7th & S St NW,9,-63,72
31202.0,14th & R St NW,28,-44,72
31200.0,Massachusetts Ave & Dupont Circle NW,58,-13,71
31031.0,15th St & N Scott St,2,-68,70
31015.0,Wilson Blvd & Ft Myer Dr,68,-1,69
31947.0,Rosslyn Metro / Wilson Blvd & N Moore St,67,-1,68
31219.0,10th St & Constitution Ave NW,61,-5,66
31120.0,10th St & Florida Ave NW,18,-48,66
31638.0,1st & H St NW,61,-4,65
31649.0,14th & Newton St NW,15,-50,65
31661.0,8th & H St NE,58,-7,65
32226.0,20th & I St NW,64,-1,65
31037.0,Ballston Metro / Stuart St & 9th St N,4,-60,64
31615.0,6th & H St NE,28,-36,64
31619.0,Lincoln Park / 13th & East Capitol St NE ,0,-64,64
31642.0,New Jersey Ave & K St NW,61,-2,63
31210.0,17th St & Rhode Island Ave NW,16,-47,63
31041.0,Prince St & Union St,61,-2,63
31321.0,15th St & Constitution Ave NW,63,1,62
31111.0,10th & U St NW,14,-48,62
31418.0,New Hampshire & Gallatin St NW,-1,-63,62
31400.0,Georgia & New Hampshire Ave NW,50,-12,62
31250.0,20th & L St NW,60,-2,62
31640.0,Maryland Ave & E St NE,4,-57,61
31118.0,3rd & Elm St NW,2,-59,61
31524.0,Montello Ave & Holbrook Terr NE,42,-18,60
31257.0,22nd & I St NW / Foggy Bottom,44,-16,60
31616.0,3rd & H St NE,42,-18,60
31611.0,13th & H St NE,5,-54,59
31214.0,17th & Corcoran St NW,16,-43,59
31039.0,Wilson Blvd & N Quincy St,7,-52,59
31328.0,21st St & G st NW,12,-47,59
31654.0,King Greenleaf Rec Center,57,-1,58
31612.0,D St & Maryland Ave NE,5,-53,58
31117.0,15th & Euclid St NW,-1,-58,57
31676.0,1st & Q St SW,47,-10,57
31917.0,N Lynn St & Fairfax Dr,51,-5,56
31673.0,Waterfront Park,54,-2,56
31132.0,13th & U St NW,37,-19,56
31105.0,14th & Harvard St NW,3,-53,56
31042.0,Market Square / King St & Royal St,56,0,56
31242.0,18th St & Pennsylvania Ave NW,35,-21,56
31109.0,7th St & Florida Ave NW,49,-6,55
31408.0,Takoma Metro,2,-53,55
31244.0,4th & E St SW,53,-2,55
31275.0,New Hampshire Ave & 24th St NW,50,-5,55
31126.0,11th & Girard St NW,11,-43,54
31295.0,Potomac & M St NW,46,-8,54
31307.0,3000 Connecticut Ave NW / National Zoo,6,-48,54
31332.0,11th & V St NW,5,-49,54
31256.0,10th & E St NW,37,-17,54
31239.0,Rhode Island & Connecticut Ave NW,53,-1,54
31424.0,9th & Ingraham St NW,51,-2,53
31420.0,17th & Upshur St NW,-1,-54,53
31308.0,39th & Veazey St NW,1,-52,53
31125.0,15th & W St NW,11,-42,53
31327.0,14th & Q St NW,31,-21,52
31271.0,Constitution Ave & 2nd St NW/DOL,46,-5,51
31601.0,19th & East Capitol St SE,50,-1,51
31292.0,22nd St & Constitution Ave NW,19,-32,51
31417.0,Kansas Ave & Sherman Cr NW,-1,-52,51
31325.0,Reservoir Rd & 38th St NW,21,-30,51
31298.0,15th & M St NW,4,-46,50
31528.0,John McCormack Rd NE,3,-47,50
31218.0,L'Enfant Plaza / 7th & C St SW,44,-6,50
31625.0,3rd & G St SE,39,-11,50
31509.0,New Jersey Ave & R St NW,9,-41,50
31610.0,Eastern Market / 7th & North Carolina Ave SE,11,-39,50
31027.0,Wilson Blvd & N Quinn St,-1,-51,50
31279.0,19th & G St NW,19,-30,49
31025.0,Central Library / Quincy St & 10th St N,8,-40,48
31240.0,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31,-17,48
31534.0,7th & Monroe St NE,13,-35,48
31294.0,7th & E St SW,48,1,47
33200.0,17th St & New York Ave NW,44,-3,47
31641.0,2nd St & Massachusetts Ave NE,10,-37,47
31505.0,Eckington Pl & Q St NE,17,-30,47
31273.0,Hains Point/Buckeye & Ohio Dr SW,10,-37,47
31404.0,9th & Upshur St NW,21,-26,47
31651.0,11th & Park Rd NW,10,-37,47
31680.0,Half & I St SW ,43,-4,47
31523.0,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,4,-43,47
32014.0,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,-1,-47,46
31312.0,Wisconsin Ave & O St NW,41,-5,46
31636.0,New Jersey Ave & N St NW/Dunbar HS,13,-33,46
31662.0,1st & K St NE,37,-9,46
31319.0,Wisconsin Ave & Brandywine St NW,-1,-46,45
31419.0,Georgia Ave & Morton St NW,2,-43,45
31226.0,34th St & Wisconsin Ave NW,12,-33,45
31119.0,14th & Belmont St NW,20,-25,45
31525.0,Trinidad Rec Center,43,-2,45
31110.0,20th St & Florida Ave NW,37,-8,45
31245.0,7th & R St NW / Shaw Library,18,-27,45
31263.0,10th & K St NW,40,-5,45
32008.0,Cordell & Norfolk Ave,-1,-46,45
31251.0,12th & L St NW,29,-16,45
31313.0,Connecticut Ave & Tilden St NW,5,-39,44
31391.0,44th St & New Mexico Ave NW,3,-41,44
31018.0,Rhodes St & 16th St N,5,-39,44
31605.0,3rd & D St SE,10,-34,44
31675.0,North Capitol & K St NE,36,-8,44
31068.0,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,41,-3,44
31139.0,20th & M St NW ,45,1,44
31600.0,5th & K St NW,31,-12,43
31269.0,3rd St & Pennsylvania Ave SE,10,-33,43
31252.0,21st St & Pennsylvania Ave NW,29,-14,43
31828.0,New Jersey Ave & H St SE,10,-33,43
31656.0,Maryland Ave & 17th St NE,38,-5,43
31049.0,Fairfax Dr & N Taylor St,41,-2,43
31668.0,1st St & Potomac Ave SE,27,-16,43
31513.0,Rhode Island Ave & V St NE,0,-42,42
31801.0,Anacostia Metro,41,-1,42
31028.0,N Veitch St & Key Blvd,3,-39,42
31401.0,14th & Quincy St NW,28,-14,42
31639.0,2nd & G St NE,37,-5,42
31606.0,Potomac & Pennsylvania Ave SE,9,-33,42
31644.0,12th St & Pennsylvania Ave SE,6,-35,41
31290.0,17th St & Independence Ave SW,12,-29,41
31065.0,N Pershing Dr & N Wayne St,-1,-42,41
31622.0,13th & D St NE,20,-21,41
