station_id,capacity,docks_total,diff_net,ape_net,capacity_calib,diff_calib,ape_calib
31139,44,11,33,300.0,10.499984510215699,-0.5000154897843014,4.545595361675468
31140,32,14,18,128.57142857142858,10.011178850390314,-3.988821149609686,28.491579640069187
31201,41,16,25,156.25,10.377783095259353,-5.622216904740647,35.13885565462904
31202,73,16,57,356.25,11.681264854793712,-4.318735145206288,26.9920946575393
31203,127,13,114,876.923076923077,13.880890324007943,0.8808903240079431,6.776079415445715
31204,35,7,28,400.0,10.133380265346661,3.133380265346661,44.762575219238016
31205,120,39,81,207.6923076923077,13.595753689109802,-25.404246310890198,65.13909310484665
31206,25,7,18,257.14285714285717,9.726042215492173,2.726042215492173,38.943460221316755
31207,21,15,6,40.0,9.563106995550378,-5.436893004449622,36.24595336299748
31208,92,12,80,666.6666666666667,12.455207149517237,0.4552071495172374,3.793392912643645
31209,210,13,197,1515.3846153846152,17.261796137800186,4.261796137800186,32.78304721384758
31210,63,15,48,320.0,11.273926804939224,-3.726073195060776,24.84048796707184
31211,30,2,28,1400.0,9.929711240419417,7.929711240419417,396.48556202097086
31212,82,5,77,1540.0,12.047869099662751,7.047869099662751,140.957381993255
31213,122,3,119,3966.6666666666665,13.6772212990807,10.6772212990807,355.90737663602334
31214,59,17,42,247.05882352941177,11.11099158499743,-5.88900841500257,34.64122597060335
31215,226,8,218,2725.0,17.913537017567364,9.913537017567364,123.91921271959205
31216,207,25,182,728.0,17.13959472284384,-7.860405277156161,31.441621108624645
31217,131,36,95,263.88888888888886,14.043825543949737,-21.956174456050263,60.98937348902851
31218,50,11,39,354.54545454545456,10.744387340128391,-0.2556126598716091,2.3237514533782644
31219,66,43,23,53.48837209302325,11.396128219895571,-31.603871780104427,73.49737623280099
31220,33,2,31,1550.0,10.051912655375762,8.051912655375762,402.5956327687881
31221,113,21,92,438.09523809523813,13.310617054211662,-7.6893829457883385,36.61610926565875
31222,168,17,151,888.2352941176471,15.550976328411341,-1.4490236715886589,8.523668656403876
31223,86,17,69,405.88235294117646,12.210804319604545,-4.789195680395455,28.171739296443853
