X,Y,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID
-8582007.347781,4698472.18496001,31st St & S Woodrow St,classic,0825be94-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:40:42+00,6,0,2,0,0,YES,YES,YES,NO,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,8,"KEY,CREDITCARD",41,"Arlington, VA",,38.837846,-77.093478,2025/07/27 04:42:29+00,279556459
-8572009.13693113,4707311.86582065,2nd & G St NE,classic,082604dd-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:41:57+00,12,0,10,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"KEY,CREDITCARD",42,"Washington, DC",,38.89967,-77.003666,2025/07/27 04:42:29+00,279556460
-8609303.38671008,4717382.34259711,North Shore & Cameron Crescent Dr/Crescent Apartments,classic,0826380c-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:40:51+00,1,0,9,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",104,"Fairfax, VA",,38.970046,-77.338686,2025/07/27 04:42:29+00,279556461
-8577670.42704383,4706200.67613119,Rock Creek Pkwy & Pkwy Dr NW ,classic,2061579755230425156,,2025/07/27 04:39:33+00,18,0,1,0,1,YES,YES,YES,NO,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,20,"KEY,CREDITCARD",42,"Washington, DC",,38.8919,-77.054517,2025/07/27 04:42:29+00,279556462
-8574701.62942802,4716136.56500143,Georgia & Missouri Ave NW,classic,082605b0-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:40:53+00,11,0,7,1,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.961339,-77.027855,2025/07/27 04:42:29+00,279556463
-8579648.853284,4702670.95604616,Columbia Pike & S Orme St,classic,082569e6-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:40:39+00,4,0,4,0,0,YES,YES,YES,NO,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,8,"KEY,CREDITCARD",41,"Arlington, VA",,38.867217,-77.072296,2025/07/27 04:42:29+00,279556464
-8611267.38425917,4716027.06598526,New Dominion Pkwy & Fountain Dr,classic,08263959-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:41:04+00,8,0,3,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",104,"Fairfax, VA",,38.960574,-77.356324,2025/07/27 04:42:29+00,279556465
-8571141.48615703,4710317.19045869,Rhode Island Ave Metro,classic,0825e3b0-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:41:04+00,18,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.920682,-76.995876,2025/07/27 04:42:29+00,279556466
-8570943.942227,4708086.29770254,Gallaudet / 8th St & Florida Ave NE,classic,08252b28-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:41:04+00,15,0,3,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.90509,-76.9941,2025/07/27 04:42:29+00,279556467
-8574496.84602933,4705116.0125662,10th St & L'Enfant Plaza SW,classic,08261d9d-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:40:59+00,17,0,4,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"KEY,CREDITCARD",42,"Washington, DC",,38.884323,-77.02601,2025/07/27 04:42:29+00,279556468
-8575867.34920346,4705656.61539492,17th St & Independence Ave SW,classic,082623bf-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:41:00+00,5,0,3,0,3,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.888097,-77.038325,2025/07/27 04:42:29+00,279556469
-8579874.74443608,4709162.87580072,Reservoir Rd & 38th St NW,classic,7a19d0e7-2b3c-4805-b843-1aec84a05bfe,,2025/07/27 04:41:05+00,13,0,4,2,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.912614,-77.074323,2025/07/27 04:42:29+00,279556470
-8572468.74735362,4709503.88607592,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,classic,6d5ad96d-a704-4fa6-8b65-3ac643c5aa93,,2025/07/27 04:40:58+00,11,0,6,6,2,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.915,-77.0078,2025/07/27 04:42:29+00,279556471
-8580104.77932925,4706420.53169151,Clarendon Blvd & Pierce St,classic,0824eba7-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:41:00+00,12,0,2,1,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",41,"Arlington, VA",,38.893438,-77.076389,2025/07/27 04:42:29+00,279556472
-8574073.89644263,4706975.26699864,7th & F St NW / National Portrait Gallery,classic,0824c772-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:41:50+00,18,2,14,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,35,"KEY,CREDITCARD",42,"Washington, DC",,38.897324,-77.022216,2025/07/27 04:42:29+00,279556473
