station_id,capacity_peak,station_name,docks_total,diff_peak,ape_peak
31201,31,15th & P St NW,16,15,93.75
31202,24,14th & R St NW,16,8,50.0
31203,28,14th St & Rhode Island Ave NW,13,15,115.38461538461537
31204,14,20th & E St NW,7,7,100.0
31205,23,21st & I St NW,39,-16,41.02564102564102
31206,9,19th & E Street NW,7,2,28.57142857142857
31207,9,Georgia Ave & Fairmont St NW,15,-6,40.0
31208,13,M St & New Jersey Ave SE,12,1,8.333333333333332
31209,34,1st & N St SE,13,21,161.53846153846155
31210,22,17th St & Rhode Island Ave NW,15,7,46.666666666666664
31211,24,Kennedy Center,2,22,1100.0
31212,14,New Hampshire Ave & Ward Pl NW,5,9,180.0
31213,19,17th & K St NW,3,16,533.3333333333333
31214,21,17th & Corcoran St NW,17,4,23.52941176470588
31215,22,Georgetown Harbor / 30th St NW,8,14,175.0
31216,27,14th St & New York Ave NW,25,2,8.0
31217,27,USDA / 12th & C St SW,36,-9,25.0
31218,19,L'Enfant Plaza / 7th & C St SW,11,8,72.72727272727273
31219,27,10th St & Constitution Ave NW,43,-16,37.2093023255814
31220,19,21st & E St NW,2,17,850.0
31221,15,18th & M St NW,21,-6,28.57142857142857
31222,22,15th St & New York Ave NW,17,5,29.411764705882355
31223,15,Convention Center / 7th & M St NW,17,-2,11.76470588235294
31224,15,18th & L St NW,8,7,87.5
31225,39,Wisconsin Ave & K St NW,15,24,160.0
31226,16,34th St & Wisconsin Ave NW,5,11,220.00000000000003
31227,17,13th St & New York Ave NW,25,-8,32.0
31228,22,8th & H St NW,30,-8,26.666666666666668
31229,30,New Hampshire Ave & T St NW,1,29,2900.0
31230,26,Metro Center / 12th & G St NW,17,9,52.94117647058824
31231,22,14th & D St NW / John A Wilson Building,13,9,69.23076923076923
31232,21,7th & F St NW / National Portrait Gallery,20,1,5.0
31233,25,17th & K St NW / Farragut Square,34,-9,26.47058823529412
31234,22,20th & O St NW / Dupont South,30,-8,26.666666666666668
31235,34,19th St & Constitution Ave NW,31,3,9.67741935483871
31236,26,37th & O St NW / Georgetown University,12,14,116.66666666666667
31238,17,14th & G St NW,23,-6,26.08695652173913
31239,12,Rhode Island & Connecticut Ave NW,19,-7,36.84210526315789
31240,42,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,25,17,68.0
31241,18,Thomas Circle,10,8,80.0
31242,18,18th St & Pennsylvania Ave NW,22,-4,18.181818181818183
31243,44,4th & C St SW,42,2,4.761904761904762
31244,18,4th & E St SW,14,4,28.57142857142857
31245,19,7th & R St NW / Shaw Library,1,18,1800.0
31247,50,Jefferson Dr & 14th St SW,13,37,284.61538461538464
31248,43,Smithsonian-National Mall / Jefferson Dr & 12th St SW,11,32,290.90909090909093
31249,45,Jefferson Memorial,7,38,542.8571428571429
31250,15,20th & L St NW,17,-2,11.76470588235294
31251,12,12th & L St NW,11,1,9.090909090909092
31252,16,21st St & Pennsylvania Ave NW,15,1,6.666666666666667
31253,14,19th & I St NW,23,-9,39.130434782608695
31254,20,15th & K St NW,15,5,33.33333333333333
31255,8,24th & N St NW,3,5,166.66666666666669
31256,14,10th & E St NW,10,4,40.0
31257,16,22nd & I St NW / Foggy Bottom,25,-9,36.0
31258,39,Lincoln Memorial,13,26,200.0
31259,13,20th St & Virginia Ave NW,11,2,18.181818181818183
31260,17,23rd & E St NW ,11,6,54.54545454545454
31261,9,Virginia Ave & C St NW,14,-5,35.714285714285715
31262,15,11th & F St NW,16,-1,6.25
31263,15,10th & K St NW,20,-5,25.0
31264,15,6th St & Indiana Ave NW,3,12,400.0
31265,18,5th St & Massachusetts Ave NW,5,13,260.0
31266,17,11th & M St NW,11,6,54.54545454545454
31267,12,17th St & Massachusetts Ave NW,8,4,50.0
31268,13,12th & U St NW,25,-12,48.0
31269,14,3rd St & Pennsylvania Ave SE,5,9,180.0
31270,20,8th & D St NW,14,6,42.857142857142854
31271,26,Constitution Ave & 2nd St NW/DOL,14,12,85.71428571428571
31272,28,Washington & Independence Ave SW/HHS,28,0,0.0
31273,49,Hains Point/Buckeye & Ohio Dr SW,9,40,444.44444444444446
31274,21,10th & G St NW,1,20,2000.0
31275,14,New Hampshire Ave & 24th St NW,1,13,1300.0
31276,18,15th & L St NW,23,-5,21.73913043478261
31277,28,17th & G St NW,28,0,0.0
31278,16,18th & R St NW,10,6,60.0
31279,22,19th & G St NW,16,6,37.5
31280,17,11th & S St NW,13,4,30.76923076923077
31281,19,8th & O St NW,5,14,280.0
31282,15,16th & R St NW,5,10,200.0
31283,14,14th & L St NW,12,2,16.666666666666664
31284,14,18th & C St NW,15,-1,6.666666666666667
31286,21,11th & O St NW,14,7,50.0
31287,19,10th St & L'Enfant Plaza SW,17,2,11.76470588235294
31288,35,4th St & Madison Dr NW,22,13,59.09090909090909
31290,42,17th St & Independence Ave SW,5,37,740.0
31291,18,Vermont Ave & I St NW,14,4,28.57142857142857
31292,19,22nd St & Constitution Ave NW,16,3,18.75
31293,15,Thomas Jefferson St NW & Water/K St NW,5,10,200.0
31294,11,7th & E St SW,10,1,10.0
31295,26,Potomac & M St NW,4,22,550.0
31296,15,Columbia & Ontario Rd NW,8,7,87.5
31298,13,15th & M St NW,10,3,30.0
31299,18,Connecticut Ave & R St NW,12,6,50.0
31300,6,Van Ness Metro / UDC,11,-5,45.45454545454545
31301,9,Ward Circle / American University,14,-5,35.714285714285715
31302,9,Wisconsin Ave & Newark St NW,19,-10,52.63157894736842
31303,9,Tenleytown / Wisconsin Ave & Albemarle St NW,12,-3,25.0
31304,6,36th & Calvert St NW / Glover Park,7,-1,14.285714285714285
31305,6,Connecticut Ave & Macomb St NW / Cleveland Park,8,-2,25.0
31306,12,39th & Calvert St NW / Stoddert,10,2,20.0
31307,11,3000 Connecticut Ave NW / National Zoo,5,6,120.0
31308,4,39th & Veazey St NW,7,-3,42.857142857142854
31309,4,Fessenden St & Wisconsin Ave NW,11,-7,63.63636363636363
31310,5,Connecticut & Nebraska Ave NW,11,-6,54.54545454545454
31311,24,13th & O St NW/ Logan Circle,16,8,50.0
31312,16,Wisconsin Ave & O St NW,9,7,77.77777777777779
31313,6,Connecticut Ave & Tilden St NW,7,-1,14.285714285714285
31314,26,34th & Water St NW,8,18,225.0
31315,4,Connecticut Ave & McKinley St NW,19,-15,78.94736842105263
31316,4,Yuma St & Tenley Circle NW,19,-15,78.94736842105263
31317,4,Wisconsin Ave & Ingomar St NW,17,-13,76.47058823529412
31318,6,Connecticut Ave & Yuma St NW,9,-3,33.33333333333333
31319,4,Wisconsin Ave & Brandywine St NW,24,-20,83.33333333333334
31320,8,American University East Campus,15,-7,46.666666666666664
31321,26,15th St & Constitution Ave NW,18,8,44.44444444444444
31323,14,Woodley Park Metro / Calvert St & Connecticut Ave NW,11,3,27.27272727272727
31324,17,18th & New Hampshire Ave NW,18,-1,5.555555555555555
31325,13,Reservoir Rd & 38th St NW,13,0,0.0
31326,8,Hardy Rec Center,9,-1,11.11111111111111
31327,21,14th & Q St NW,14,7,50.0
31328,19,21st St & G st NW,12,7,58.333333333333336
31330,24,17th & P St NW,14,10,71.42857142857143
31331,4,Arizona Ave & MacArthur Blvd NW,3,1,33.33333333333333
31332,13,11th & V St NW,13,0,0.0
31333,5,Wisconsin Ave & Rodman St NW,17,-12,70.58823529411765
31334,3,Loughboro Rd & Dalecarlia Pkwy NW / Sibley Hospital,18,-15,83.33333333333334
31335,16,16th & K St NW/BLM Plaza,32,-16,50.0
31336,20,9th & N St NW ,18,2,11.11111111111111
31337,16,33rd St & Wisconsin Ave NW,6,10,166.66666666666669
31338,7,Connecticut Ave & Ordway St NW / Cleveland Park Metro ,7,0,0.0
31339,10,18th St & Ingleside Ter NW,1,9,900.0
31340,7,North Capitol & Douglas St NW / Reservoir Park Rec ,17,-10,58.82352941176471
31380,3,Sunrise Valley Dr & Roland Clarke Pl,6,-3,50.0
31381,2,Westbranch Dr & Maitland St,8,-6,75.0
31383,4,N Shore Dr & Bandit Loop,2,2,100.0
31385,2,Old Meadow Rd & Old Meadow Ln,11,-9,81.81818181818183
31386,4,Prosperity Ave & Avenir Pl,10,-6,60.0
31387,2,Kingsbridge Dr & Draper Dr,6,-4,66.66666666666666
31389,5,Route 29 & Circle Woods Dr,6,-1,16.666666666666664
31390,5,Whitehaven Pkwy & Foxhall Rd NW / GWU Mt. Vernon,14,-9,64.28571428571429
31391,6,44th St & New Mexico Ave NW,14,-8,57.14285714285714
31392,6,39th St & Tunlaw Rd NW,12,-6,50.0
31393,12,Wisconsin Ave & Upton St NW,14,-2,14.285714285714285
31394,5,New Mexico & Cathedral Ave NW,15,-10,66.66666666666666
31395,4,Massachusetts & Idaho Ave NW,8,-4,50.0
31396,2,Dorr Ave & Prosperity Ave,9,-7,77.77777777777779
31398,4,Tyco Rd & Boyd Pointe Way,1,3,300.0
31399,2,Old Meadow Rd & Cathy Ln,6,-4,66.66666666666666
31400,9,Georgia & New Hampshire Ave NW,15,-6,40.0
31401,12,14th & Quincy St NW,6,6,100.0
31402,5,14th St Heights / 14th & Crittenden St NW,10,-5,50.0
31403,4,5th & Kennedy St NW,2,2,100.0
31404,9,9th & Upshur St NW,1,8,800.0
31405,5,Georgia Ave & Emerson St NW,2,3,150.0
31406,6,14th & Upshur St NW,17,-11,64.70588235294117
31407,7,Colorado Ave & Longfellow St NW,14,-7,50.0
31408,7,Takoma Metro,11,-4,36.36363636363637
31411,5,Georgia & Missouri Ave NW,11,-6,54.54545454545454
31412,4,3rd St & Riggs Rd NE,2,2,100.0
31413,4,3rd & Underwood St NW,14,-10,71.42857142857143
31414,3,Georgia Ave & Piney Branch Rd NW,11,-8,72.72727272727273
31415,4,Georgia Ave & Kennedy St NW,17,-13,76.47058823529412
31416,3,14th St & Luzon Ave NW,8,-5,62.5
31417,9,Kansas Ave & Sherman Cr NW,3,6,200.0
31418,7,New Hampshire & Gallatin St NW,9,-2,22.22222222222222
31419,16,Georgia Ave & Morton St NW,12,4,33.33333333333333
31420,7,17th & Upshur St NW,19,-12,63.1578947368421
31421,9,Grant Circle,7,2,28.57142857142857
31422,4,Broad Branch Rd & Northampton St NW,16,-12,75.0
31423,5,Kansas Ave & Longfellow St NW,1,4,400.0
31424,4,9th & Ingraham St NW,5,-1,20.0
31425,6,Georgia Ave & Dahlia St NW,5,1,20.0
31426,8,10th St & Spring Rd NW,12,-4,33.33333333333333
31427,2,Kansas Ave & Tuckerman St NW / Lamond Rec ,11,-9,81.81818181818183
31428,2,Western Ave & Pinehurst Cir NW ,6,-4,66.66666666666666
31429,20,Rock Creek Pkwy & Pkwy Dr NW ,18,2,11.11111111111111
31500,8,4th & W St NE,12,-4,33.33333333333333
31501,4,12th & Newton St NE,5,-1,20.0
31502,7,John McCormack Rd & Michigan Ave NE,10,-3,30.0
31503,17,Florida Ave & R St NW,6,11,183.33333333333331
31504,5,10th & Monroe St NE,18,-13,72.22222222222221
31505,17,Eckington Pl & Q St NE,20,-3,15.0
31506,17,1st & Rhode Island Ave NW,14,3,21.428571428571427
31507,8,1st & Washington Hospital Center NW,9,-1,11.11111111111111
31508,9,Gallaudet / 8th St & Florida Ave NE,15,-6,40.0
31510,3,18th St & Rhode Island Ave NE,1,2,200.0
31511,6,12th & Irving St NE,9,-3,33.33333333333333
31512,10,Neal St & Trinidad Ave NE,5,5,100.0
31513,5,Rhode Island Ave & V St NE,18,-13,72.22222222222221
31514,8,Hamlin & 7th St NE,8,0,0.0
31515,7,Fort Totten Metro,11,-4,36.36363636363637
31516,6,Rhode Island Ave Metro,18,-12,66.66666666666666
31517,15,Union Market,9,6,66.66666666666666
31518,10,New York Ave & Hecht Ave NE,12,-2,16.666666666666664
31519,11,1st & O St NW,5,6,120.0
31520,19,24th & R St NE / National Arboretum,5,14,280.0
31522,9,2nd St & Seaton Pl NE,15,-6,40.0
31523,9,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,11,-2,18.181818181818183
31524,9,Montello Ave & Holbrook Terr NE,11,-2,18.181818181818183
31525,6,Trinidad Rec Center,18,-12,66.66666666666666
31526,3,Rhode Island & Montana Ave NE,13,-10,76.92307692307693
31527,10,North Capitol & R St NE,8,2,25.0
31528,7,John McCormack Rd NE,13,-6,46.15384615384615
31529,9,Edgewood Rec Center,2,7,350.0
31530,4,Capitol Ave & Kendall St NE,14,-10,71.42857142857143
31531,18,MBT & Bryant St NE,14,4,28.57142857142857
31532,20,4th & Florida Ave NE,12,8,66.66666666666666
31533,18,Tanner Park,9,9,100.0
31534,10,7th & Monroe St NE,6,4,66.66666666666666
31535,3,10th St & Rhode Island Ave NE,12,-9,75.0
31536,15,5th & Morse St NE,18,-3,16.666666666666664
31537,2,Fort Lincoln Dr & 33rd Pl NE,11,-9,81.81818181818183
31538,4,South Dakota Ave & Bladensburg Rd NE,9,-5,55.55555555555556
31539,2,South Dakota Ave & 33rd St NE,1,1,100.0
31540,14,3rd & N St NE,6,8,133.33333333333331
