station_id,station_name,docks_total
31210.0,17th St & Rhode Island Ave NW,15
31211.0,Kennedy Center,2
31212.0,New Hampshire Ave & Ward Pl NW,5
31213.0,17th & K St NW,3
31214.0,17th & Corcoran St NW,17
31215.0,Georgetown Harbor / 30th St NW,8
31216.0,14th St & New York Ave NW,25
31217.0,USDA / 12th & C St SW,36
31218.0,L'Enfant Plaza / 7th & C St SW,11
31219.0,10th St & Constitution Ave NW,43
31220.0,21st & E St NW,2
31221.0,18th & M St NW,21
31222.0,15th St & New York Ave NW,17
31223.0,Convention Center / 7th & M St NW,17
31224.0,18th & L St NW,8
31225.0,Wisconsin Ave & K St NW,15
31226.0,34th St & Wisconsin Ave NW,5
31227.0,13th St & New York Ave NW,25
31228.0,8th & H St NW,30
31229.0,New Hampshire Ave & T St NW,1
31230.0,Metro Center / 12th & G St NW,17
31231.0,14th & D St NW / John A Wilson Building,13
31232.0,7th & F St NW / National Portrait Gallery,20
31233.0,17th & K St NW / Farragut Square,34
31234.0,20th & O St NW / Dupont South,30
31235.0,19th St & Constitution Ave NW,31
31236.0,37th & O St NW / Georgetown University,12
31237.0,25th St & Pennsylvania Ave NW,0
31238.0,14th & G St NW,23
31239.0,Rhode Island & Connecticut Ave NW,19
31240.0,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,25
31241.0,Thomas Circle,10
31242.0,18th St & Pennsylvania Ave NW,22
31243.0,4th & C St SW,42
31244.0,4th & E St SW,14
31245.0,7th & R St NW / Shaw Library,1
31247.0,Jefferson Dr & 14th St SW,13
31248.0,Smithsonian-National Mall / Jefferson Dr & 12th St SW,11
31249.0,Jefferson Memorial,7
31250.0,20th & L St NW,17
31251.0,12th & L St NW,11
31252.0,21st St & Pennsylvania Ave NW,15
31253.0,19th & I St NW,23
31254.0,15th & K St NW,15
31255.0,24th & N St NW,3
31256.0,10th & E St NW,10
31257.0,22nd & I St NW / Foggy Bottom,25
31258.0,Lincoln Memorial,13
31259.0,20th St & Virginia Ave NW,11
31260.0,23rd & E St NW ,11
31261.0,Virginia Ave & C St NW,14
31262.0,11th & F St NW,16
31263.0,10th & K St NW,20
31264.0,6th St & Indiana Ave NW,3
31265.0,5th St & Massachusetts Ave NW,5
31266.0,11th & M St NW,11
31267.0,17th St & Massachusetts Ave NW,8
31268.0,12th & U St NW,25
31269.0,3rd St & Pennsylvania Ave SE,5
31270.0,8th & D St NW,14
31271.0,Constitution Ave & 2nd St NW/DOL,14
31272.0,Washington & Independence Ave SW/HHS,28
31273.0,Hains Point/Buckeye & Ohio Dr SW,9
31274.0,10th & G St NW,1
31275.0,New Hampshire Ave & 24th St NW,1
31276.0,15th & L St NW,23
31277.0,17th & G St NW,28
31278.0,18th & R St NW,10
31279.0,19th & G St NW,16
31280.0,11th & S St NW,13
31281.0,8th & O St NW,5
31282.0,16th & R St NW,5
31283.0,14th & L St NW,12
31284.0,18th & C St NW,15
31285.0,22nd & P ST NW,0
31286.0,11th & O St NW,14
31287.0,10th St & L'Enfant Plaza SW,17
31288.0,4th St & Madison Dr NW,22
